features	levels	decision	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	cuts	cut1	cut2	cut3	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	supportSetLHS	supportSetRHS	cut4	stabilityLHS	stabilityRHS	supportRatioLHS	supportRatioRHS	cut5
THRB,X00000058729	3,1	NonProt	6	6	0.92857	0.18571	0.34314	value>cut,value<cut	-3.20135	-4.49835		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TMX2,KRTAP29.1	1,2	NonProt	8	6	0.86607	0.21429	0.37725	value<cut,cut<value<cut	2.88625	-5.0165	-3.65362	1	3.15789473684211	1	0.725:13.762				1	1	0.42105	0.31579	
THRB,X00000064369	3,1	NonProt	7	7	0.96875	0.20992	0.41656	value>cut,value<cut	-3.12966	2.57726		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
TNNT2,F2RL3	3,3	NonProt	6	6	1	0.17619	0.36961	value>cut,value>cut	-0.60528	-1.91258		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TNNT2,SDK2	3,1	NonProt	6	6	1	0.17143	0.34314	value>cut,value<cut	-0.52218	-0.85385		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
F2RL3,X00000059995	3,1	NonProt	6	6	1	0.17064	0.3607	value>cut,value<cut	-1.91617	-0.3979		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000059200,TNNT2	1,3	NonProt	6	6	1	0.18286	0.37631	value<cut,value>cut	-0.4205	-0.53156		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TNNT2,STARD8	3,3	NonProt	6	6	1	0.17143	0.36397	value>cut,value>cut	-0.7514	1.4621		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TNNT2,X00000059995	3,1	NonProt	6	6	1	0.17143	0.35294	value>cut,value<cut	-0.4817	-0.2925		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TNNT2,KRTAP29.1	3,2	NonProt	7	6	0.97959	0.18776	0.37792	value>cut,cut<value<cut	-0.60563	-5.00057	-1.68207	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
LOC701920,LTC4S	1,3	NonProt	8	7	0.89517	0.22857	0.41823	value<cut,value>cut	5.2525	0.6264		1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
LOC701920,SMIM2	1,3	NonProt	7	6	0.88265	0.20816	0.37891	value<cut,value>cut	5.25693	1.0598		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
VSTM1,ESR1	2,1	NonProt	7	6	0.8631	0.20952	0.37337	cut<value<cut,value<cut	4.50083	5.2235	0.6029	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
TMX2,LTC4S	1,3	NonProt	7	6	0.89286	0.19286	0.34314	value<cut,value>cut	2.88625	0.61908		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000053274,LOC709056	1,1	NonProt	7	7	1	0.18869	0.38751	value<cut,value<cut	-0.36874	-0.41854		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
X00000060146,ZNF576	3,1	NonProt	8	7	0.86786	0.21587	0.39322	value>cut,value<cut	-2.9579	3.741		1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
X00000037843,X00000060253	2,2	NonProt	7	6	0.85714	0.2	0.34314	cut<value<cut,cut<value<cut	2.473	2.7623	1.2214	1	6.31578947368421	1	0.836:47.694			2.0577	1	1	0.36842	0.31579	
X00000053012,KRTAP29.1	1,2	NonProt	8	7	0.89153	0.23422	0.43273	value<cut,cut<value<cut	2.58136	-4.99089	-1.24006	1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
TMX2,X00000053012	1,1	NonProt	7	6	0.87946	0.20645	0.3751	value<cut,value<cut	2.88019	2.57812		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
LOC702786,ZNF576	2,1	NonProt	7	6	0.86071	0.20571	0.36127	cut<value<cut,value<cut	-5.00344	-2.40472	3.745	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
TMX2,LOC702786	1,2	NonProt	7	6	0.8817	0.21071	0.3797	value<cut,cut<value<cut	2.87675	-4.96268	-1.43054	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000053274,TMX2	1,1	NonProt	7	6	0.88265	0.20737	0.37284	value<cut,value<cut	-0.40443	2.87179		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000064715,KRTAP29.1	2,2	NonProt	6	6	1	0.17714	0.35621	cut<value<cut,cut<value<cut	0.05292	1.92414	-5.0056	1	Inf	1	-Inf:Inf			-2.5298	1	1	0.31579	0.31579	
LOC709056,LTC4S	1,3	NonProt	6	6	1	0.18016	0.37228	value<cut,value>cut	-0.42788	0.5942		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TMEM38A,X00000053012	3,1	NonProt	6	6	0.92857	0.18571	0.35294	value>cut,value<cut	3.238	2.59025		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LOC701920,X00000060253	1,2	NonProt	6	6	1	0.17143	0.35355	value<cut,cut<value<cut	5.2505	1.20235	2.04555	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KRTAP29.1,C5H4orf45	2,3	NonProt	6	6	1	0.17143	0.35294	cut<value<cut,value>cut	-5.00125	-2.9635	1.4498	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TARM1,THRB	1,1	Prot	7	6	0.89286	0.19286	0.33385	value<cut,value<cut	1.34478	-4.8731		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
LOC719667,TARM1	2,1	Prot	8	7	0.89286	0.21799	0.373	cut<value<cut,value<cut	4.08242	4.97808	1.33245	1	6.65	1	0.901:49.088				1	1	0.4	0.35	
KRTAP29.1,MYH15	3,1	Prot	6	6	1	0.17798	0.34361	value>cut,value<cut	-0.82025	-2.34529		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000037843,TARM1	1,1	Prot	7	6	0.96173	0.19184	0.35778	value<cut,value<cut	2.47107	1.3588		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
TNNT2,TARM1	1,1	Prot	6	6	1	0.17714	0.35229	value<cut,value<cut	-2.37296	1.35798		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
LOC709056,THRB	2,1	Prot	7	6	0.88571	0.19317	0.32708	cut<value<cut,value<cut	-0.42806	0.71524	-4.87808	1	5.7	1	0.755:43.043				1	1	0.35	0.3	
X00000037843,RBM46	1,3	Prot	6	6	1	0.17143	0.33333	value<cut,value>cut	2.4673	-1.2248		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
VSTM1,X00000060253	1,3	Prot	6	6	1	0.17143	0.33987	value<cut,value>cut	4.393	2.06143		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
KIR3DL0,KRTAP29.1	2,3	Prot	6	6	1	0.18286	0.35645	cut<value<cut,value>cut	2.8202	3.6149	-2.48	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
TNNT2,MAOA	1,1	Prot	6	6	0.92857	0.18571	0.34314	value<cut,value<cut	-2.3966	0.2491		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
C5H4orf45,SDK2	1,3	Prot	7	6	0.92857	0.2	0.36068	value<cut,value>cut	0.3585	0.55225		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
X00000064715,LAMC1	3,2	Prot	7	6	0.88571	0.19317	0.331	value>cut,cut<value<cut	1.94092	0.92156	1.78618	1	5.7	1	0.755:43.043				1	1	0.35	0.3	
X00000053274,KIR3DL0	3,2	Prot	6	6	0.92857	0.18571	0.35294	value>cut,cut<value<cut	1.2815	2.85425	3.7	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000053274,X00000064715	3,3	Prot	6	6	1	0.17619	0.3502	value>cut,value>cut	1.47122	1.91168		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
LOC114669850,LAMC1	2,3	NonProt	7	6	0.85714	0.2	0.33333	cut<value<cut,value>cut	-0.0248	1.51495	1.8291	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
CFAP70,THRB	3,3	NonProt	7	6	0.88095	0.19524	0.34355	value>cut,value>cut	2.25585	-3.147		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
C5H4orf45,HEY1	3,2	NonProt	7	6	0.90476	0.19048	0.33333	value>cut,cut<value<cut	1.7828	-1.87213	-0.72477	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
F2RL3,HCN2	3,3	NonProt	6	6	1	0.17718	0.36428	value>cut,value>cut	-1.76028	-2.1865		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
FABP5,LOC709056	3,1	NonProt	6	6	1	0.17407	0.35775	value>cut,value<cut	2.46401	-0.40559		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
THRB,LAMC1	3,3	NonProt	6	6	1	0.17857	0.36295	value>cut,value>cut	-3.11983	1.78336		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000064715,CFAP70	3,2	Prot	7	7	0.89286	0.21016	0.35937	value>cut,cut<value<cut	1.99134	0.15134	2.2823	1	Inf	1	-Inf:Inf				1	1	0.35	0.35	
TNNT2,LOC709056	1,2	Prot	8	7	0.89921	0.22286	0.39852	value<cut,cut<value<cut	-2.41462	-0.40774	0.70846	1	6.65	1	0.901:49.088				1	1	0.4	0.35	
X00000053012,USP31	3,1	Prot	6	6	0.96429	0.18433	0.35221	value>cut,value<cut	2.8597	0.17918		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
LOC709056,USP31	2,1	Prot	6	6	1	0.17143	0.34641	cut<value<cut,value<cut	-0.427	0.70417	0.20487	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
LOC719667,X00000064715	1,3	Prot	6	6	1	0.17143	0.35294	value<cut,value>cut	4.5205	1.9356		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000053274,LAMC1	1,3	NonProt	7	6	0.89286	0.20247	0.37123	value<cut,value>cut	-0.34098	1.77892		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
RBM46,LAMC1	2,3	NonProt	7	6	0.86071	0.20571	0.36111	cut<value<cut,value>cut	-2.48872	-1.08788	1.8291	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
SDK2,X00000058729	1,2	NonProt	7	6	0.92857	0.2	0.36111	value<cut,cut<value<cut	-0.72615	-4.52695	-2.3626	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
LOC709056,A1BG	1,2	NonProt	6	6	1	0.17075	0.35084	value<cut,cut<value<cut	-0.41323	-1.98286	-1.43671	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000037843,LAMC1	3,3	NonProt	6	6	1	0.17143	0.33333	value>cut,value>cut	2.7269	1.8291		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TMEM38A,SDK2	3,1	NonProt	6	6	1	0.17143	0.33333	value>cut,value<cut	3.0765	-0.8017		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000037843,SDK2	3,1	NonProt	6	6	1	0.17143	0.35417	value>cut,value<cut	2.86295	-0.8017		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LILRB1	3	NonProt	11	10	0.90909	0.31429	0.55556	value>cut	7.693			1	10.5263157894737	1	1.487:74.534				1	1	0.57895	0.52632	
TMX2,ZNF576	1,1	NonProt	8	7	0.86905	0.21905	0.378	value<cut,value<cut	2.8525	3.74767		1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
F2RL3,LILRB1	2,3	NonProt	6	6	1	0.17143	0.33987	cut<value<cut,value>cut	-3.3308	-1.5483	7.75283	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KIR3DL0,TMEM38A	1,3	NonProt	6	6	1	0.17143	0.33333	value<cut,value>cut	2.9505	3.0765		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000053012,CTH	1,3	NonProt	7	7	1	0.19592	0.39764	value<cut,value>cut	2.56781	-0.7621		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
KIR3DL0,X00000064369	1,2	NonProt	6	6	1	0.17143	0.33333	value<cut,cut<value<cut	2.9505	2.5776	3.3062	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LOC702786,TRIM16	2,1	NonProt	7	6	0.95238	0.19048	0.37337	cut<value<cut,value<cut	-4.94643	-1.0314	-1.66187	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
TMX2,CFAP70	1,3	NonProt	6	6	1	0.17143	0.33824	value<cut,value>cut	2.8605	2.3067		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KIR3DL0,TRIM16	1,1	NonProt	6	6	1	0.17143	0.35417	value<cut,value<cut	2.85425	-1.67025		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
ESR1,A1BG	1,2	NonProt	7	6	0.85714	0.2	0.33333	value<cut,cut<value<cut	0.6029	-1.9115	-1.3534	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
A1BG,LAMC1	2,3	NonProt	7	6	0.85714	0.2	0.33333	cut<value<cut,value>cut	-1.9115	-1.3534	1.8291	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
LOC715623,A1BG	1,2	NonProt	7	6	0.85714	0.2	0.33333	value<cut,cut<value<cut	-1.7648	-1.9115	-1.3534	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000059200,X00000059995	1,1	NonProt	7	6	0.90476	0.19048	0.35376	value<cut,value<cut	-0.41623	-0.41327		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000053274,CBS	1,2	NonProt	6	6	1	0.17143	0.33333	value<cut,cut<value<cut	-0.3996	-1.861	-0.0623	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LILRB1,ESR1	3,1	NonProt	7	6	0.90476	0.18862	0.36111	value>cut,value<cut	7.705	0.6029		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
LILRB1,X00000059995	3,1	NonProt	6	6	1	0.17143	0.33333	value>cut,value<cut	7.693	-0.4414		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
VSTM1,TARM1	1,1	Prot	7	7	0.91071	0.20952	0.37771	value<cut,value<cut	4.4315	1.3775		1	Inf	1	-Inf:Inf				1	1	0.35	0.35	
FABP5,X00000060146	1,1	Prot	7	6	0.88393	0.20384	0.35279	value<cut,value<cut	1.9938	-4.82742		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
F2RL3,ZNF576	1,2	Prot	6	6	1	0.18095	0.36017	value<cut,cut<value<cut	-3.38853	3.741	3.94067	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
VSTM1,CBS	1,3	Prot	6	6	1	0.17143	0.34314	value<cut,value>cut	4.41025	-0.10475		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
USP31,X00000059995	1,2	Prot	6	6	0.92857	0.18571	0.33437	value<cut,cut<value<cut	0.09975	-0.4203	0.6956	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
VSTM1,USP31	1,1	Prot	6	6	1	0.17714	0.35335	value<cut,value<cut	4.3583	0.11466		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
TRIM16,USP31	3,1	Prot	6	6	1	0.18571	0.38235	value>cut,value<cut	-0.9991	0.16155		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
USP31,CTH	1,1	Prot	7	6	0.85714	0.2	0.34056	value<cut,value<cut	0.12303	-1.48927		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
STARD8,TMX2	2,2	Prot	7	6	0.92857	0.19286	0.35681	cut<value<cut,cut<value<cut	0.6776	1.48085	2.85363	1	5.7	1	0.755:43.043			3.23463	1	1	0.35	0.3	
TARM1,LILRB1	1,1	Prot	7	6	0.88095	0.19524	0.33402	value<cut,value<cut	1.3775	7.30633		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
LILRB1,CFAP70	2,2	Prot	7	6	0.85714	0.19815	0.32876	cut<value<cut,cut<value<cut	7.281	7.699	0.19383	1	5.7	1	0.755:43.043			2.29733	1	1	0.35	0.3	
X00000053274,CFAP70	3,2	Prot	6	6	1	0.17143	0.35294	value>cut,cut<value<cut	1.2815	0.1854	2.3348	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000053274,HCN2	3,1	Prot	6	6	1	0.17143	0.34804	value>cut,value<cut	1.4396	-2.89575		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000053012,ESR1	3,3	Prot	6	6	1	0.17603	0.35235	value>cut,value>cut	2.8609	1.05258		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
ESR1,X00000059995	3,2	Prot	6	6	0.95238	0.1791	0.32291	value>cut,cut<value<cut	1.05813	-0.42733	0.68037	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000064313,C5H4orf45	3,1	Prot	6	6	1	0.17143	0.35294	value>cut,value<cut	-0.96	0.5411		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
TMX2,LOC701920	3,3	Prot	6	6	1	0.18175	0.3602	value>cut,value>cut	3.2357	5.503		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
USP31,X00000058427	1,1	Prot	6	6	1	0.17143	0.35294	value<cut,value<cut	0.1535	1.211		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
CBS,USP31	3,1	Prot	6	6	1	0.17143	0.35294	value>cut,value<cut	-0.0623	0.1535		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
TRIM16,X00000060253	1,1	NonProt	7	6	0.85714	0.2	0.33333	value<cut,value<cut	-1.7125	1.18767		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000060253,MAOA	1,2	NonProt	7	6	0.85714	0.2	0.34722	value<cut,cut<value<cut	1.16227	0.23777	0.67283	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000037843,X00000053012	3,1	NonProt	7	7	0.92602	0.21145	0.40733	value>cut,value<cut	2.83611	2.59167		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
KIR3DL0,SMIM2	1,3	NonProt	6	6	1	0.18492	0.37132	value<cut,value>cut	2.84192	1.03498		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
VSTM1,X00000053012	3,1	NonProt	8	8	1	0.21706	0.44276	value>cut,value<cut	5.19688	2.57779		1	Inf	1	-Inf:Inf				1	1	0.42105	0.42105	
VSTM1,CFAP70	3,3	NonProt	6	6	1	0.17143	0.34865	value>cut,value>cut	5.22625	2.34422		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TARM1,X00000053012	3,1	NonProt	8	7	0.86905	0.2172	0.39188	value>cut,value<cut	1.94633	2.59373		1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
STARD8,F2RL3	3,3	NonProt	8	7	0.88922	0.21336	0.40176	value>cut,value>cut	1.44787	-1.81822		1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
THRB,SMIM2	3,2	NonProt	7	6	0.90476	0.2	0.36574	value>cut,cut<value<cut	-3.1894	-0.24807	1.12097	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000037843,LILRB1	3,3	NonProt	7	6	0.90476	0.2	0.37228	value>cut,value>cut	2.8294	7.699		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
VSTM1,LILRB1	3,3	NonProt	6	6	1	0.1791	0.37459	value>cut,value>cut	5.19367	7.699		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LILRB1,DLK1	3,3	NonProt	6	6	1	0.17024	0.35907	value>cut,value>cut	7.702	-0.04695		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KIR3DL0,LILRB1	1,3	NonProt	6	6	1	0.17143	0.33333	value<cut,value>cut	2.9505	7.693		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000053012,LILRB1	1,3	NonProt	7	7	1	0.20992	0.43581	value<cut,value>cut	2.58318	7.73331		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
KIR3DL0,F2RL3	1,3	NonProt	6	6	1	0.17143	0.34314	value<cut,value>cut	2.9035	-1.5483		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000053274,KIR3DL0	2,1	NonProt	6	6	1	0.17143	0.33333	cut<value<cut,value<cut	-0.3996	1.2815	2.9505	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KIR3DL0,CTH	1,3	NonProt	6	6	1	0.16984	0.34722	value<cut,value>cut	2.88633	-0.8744		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LOC719667,TARM1	3,3	NonProt	7	7	1	0.18859	0.38741	value>cut,value>cut	4.98919	2.02135		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
LOC719667,KIR3DL0	3,1	NonProt	6	6	1	0.17937	0.36574	value>cut,value<cut	4.98417	2.88633		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TARM1,CTH	3,3	NonProt	6	6	1	0.17603	0.36201	value>cut,value>cut	1.97268	-0.7964		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
A1BG	3	Prot	11	10	0.91098	0.31905	0.55503	value>cut	-1.4227			1	9.5	1	1.342:67.267				1	1	0.55	0.5	
KIR3DL0,ZNF576	2,2	Prot	7	6	0.85714	0.2	0.35294	cut<value<cut,cut<value<cut	2.9505	3.7	3.741	1	5.7	1	0.755:43.043			3.9385	1	1	0.35	0.3	
A1BG,LTC4S	3,1	Prot	6	6	1	0.16984	0.33529	value>cut,value<cut	-1.45523	-0.46503		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
A1BG,X00000058729	3,3	Prot	6	6	0.95238	0.18095	0.34056	value>cut,value>cut	-1.4275	-2.40723		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
KIR3DL0,DLK1	2,2	Prot	6	6	1	0.17143	0.35294	cut<value<cut,cut<value<cut	2.9505	3.7	-1.8118	1	Inf	1	-Inf:Inf			0.1419	1	1	0.3	0.3	
F2RL3,A1BG	1,3	Prot	6	6	1	0.17143	0.35294	value<cut,value>cut	-3.3308	-1.3534		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
TNNT2,A1BG	1,3	Prot	6	6	1	0.17024	0.32552	value<cut,value>cut	-2.4445	-1.4227		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
LTC4S,HCN2	1,1	Prot	7	6	0.8631	0.20952	0.35928	value<cut,value<cut	-0.40643	-2.90567		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
A1BG,HEY1	3,1	Prot	6	6	1	0.17024	0.3348	value>cut,value<cut	-1.40897	-1.94923		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
VSTM1,LOC709056	3,1	NonProt	7	7	1	0.19841	0.40278	value>cut,value<cut	5.17313	-0.427		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
LOC709056,CTH	1,3	NonProt	7	6	0.97619	0.19048	0.37187	value<cut,value>cut	-0.39488	-0.7203		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
TARM1,LILRB1	3,3	NonProt	6	6	1	0.17143	0.33333	value>cut,value>cut	1.9697	7.693		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TNNT2,TARM1	3,3	NonProt	6	6	0.97143	0.17619	0.35392	value>cut,value>cut	-0.69654	1.98636		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LOC709056,KRTAP29.1	1,2	NonProt	7	7	1	0.20992	0.43449	value<cut,cut<value<cut	-0.40291	-5.00669	-1.60675	1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
X00000037843,RBM46	2,1	NonProt	7	6	0.85714	0.2	0.33333	cut<value<cut,value<cut	2.473	2.7446	-2.4869	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
LOC719667,X00000056965	3,1	NonProt	6	6	1	0.17024	0.34865	value>cut,value<cut	5.00238	-3.4486		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KIR3DL0,LOC701920	1,1	NonProt	6	6	1	0.18512	0.38006	value<cut,value<cut	2.81363	5.25713		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000064715,TMX2	1,1	NonProt	7	6	0.85714	0.2	0.33333	value<cut,value<cut	-0.0934	2.857		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
TMX2,MYH15	1,2	NonProt	7	6	0.85714	0.2	0.34314	value<cut,cut<value<cut	2.857	-2.1852	-1.484	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
THRB,HCN2	3,3	NonProt	6	6	0.95238	0.18003	0.35743	value>cut,value>cut	-3.19057	-2.14795		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KIR3DL0,X00000064715	1,1	NonProt	6	6	1	0.17143	0.34314	value<cut,value<cut	2.9035	-0.01805		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000037843,F2RL3	1,1	Prot	7	6	0.90476	0.19048	0.34641	value<cut,value<cut	2.4711	-3.39037		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
LOC709056,ESR1	2,3	Prot	7	6	0.95238	0.18862	0.35196	cut<value<cut,value>cut	-0.427	0.7151	1.05813	1	5.7	1	0.755:43.043				1	1	0.35	0.3	
C5H4orf45,USP31	1,1	Prot	7	6	0.85714	0.2	0.35294	value<cut,value<cut	0.34017	0.22357		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
X00000053012,C5H4orf45	3,1	Prot	7	6	0.88929	0.20444	0.3441	value>cut,value<cut	2.87166	0.2548		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
TARM1,TRIM16	1,3	Prot	6	6	0.92857	0.18571	0.33437	value<cut,value>cut	1.369	-0.9464		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
TARM1,CBS	1,3	Prot	7	6	0.85714	0.2	0.35294	value<cut,value>cut	1.369	-0.0623		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
X00000037843,X00000059200	1,3	Prot	6	6	1	0.17048	0.32708	value<cut,value>cut	2.46764	2.81416		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
LOC701920,A1BG	3,3	Prot	6	6	1	0.17143	0.33808	value>cut,value>cut	5.5238	-1.44232		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
CBS,TRIM16	3,3	Prot	6	6	1	0.17143	0.35294	value>cut,value>cut	-0.0623	-0.9464		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000037843,KIR3DL0	1,2	Prot	6	6	1	0.17143	0.33402	value<cut,cut<value<cut	2.4673	2.86167	3.656	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000053274,LTC4S	3,1	Prot	6	6	1	0.17143	0.35294	value>cut,value<cut	1.31457	-0.40033		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
KIR3DL0,LTC4S	2,1	Prot	6	6	1	0.17143	0.35294	cut<value<cut,value<cut	2.85425	3.7	-0.4186	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
LILRB1,HCN2	1,2	Prot	7	6	0.85714	0.2	0.35294	value<cut,cut<value<cut	7.255	-2.8193	-2.1949	1	5.7	1	0.755:43.043				1	1	0.35	0.3	
A1BG,THRB	3,1	Prot	7	7	1	0.19317	0.37915	value>cut,value<cut	-1.4146	-4.87432		1	Inf	1	-Inf:Inf				1	1	0.35	0.35	
